Cities ,pop_area,tour_inf,nhwhite,gdp_per_capital,crime_avg,employ_avg,pov_avg ,pov_over10,basketball,lon_trm,football,land_locked
St. Paul,"5,994.00","7,000,000",0.49,"80,468.00",0.50,0.62,0.10,1,0,65.00,0,0
Durham,"2,499.60","12,500,000",0.57,"92,986.00",0.41,0.62,0.12,1,0,60.00,0,1
Lincoln,"2,979.70","7,000,000",0.22,"65,744.00",0.36,0.61,0.10,1,0,63.30,0,1
Jersey City,"19,835.10","6,000,000",0.73,"100,806.00",0.15,0.59,0.17,1,0,62.00,0,0
Plano,"3,629.10","3,700,000",0.50,"77,109.00",0.21,0.64,0.08,0,0,57.90,0,1
Anchorage,171.20,"300,000",0.44,"70,736.00",0.39,0.60,0.10,0,0,61.60,0,0
Madison,"3,475.60","4,100,000",0.38,"82,900.00",0.28,0.63,0.11,1,0,66.80,0,1
Chandler,"4,315.30","300,000",0.42,"63,906.00",0.20,0.62,0.10,1,0,63.30,0,1
Reno,"2,406.70","3,600,000",0.37,"71,293.00",0.32,0.62,0.12,1,1,58.90,0,1
Gilbert,"4,001.40","5,400,000",0.28,"63,906.00",0.11,0.63,0.09,0,0,65.30,0,1
St. Louis,"4,927.10","25,000,000",0.37,"66,767.00",0.87,0.59,0.20,1,0,44.10,0,0
Buffalo,"6,655.80","16,000,000",0.58,"66,238.00",0.41,0.57,0.30,1,0,52.20,1,0
Fort Wayne,"2,480.90","8,800,000",0.35,"50,274.00",0.27,0.58,0.17,1,1,64.00,0,1
Lubbock,"2,433.60","7,000,000",0.38,"50,430.00",0.53,0.58,0.18,1,0,59.70,0,1
St. Petersburg,"4,371.20","16,000,000",0.36,"59,235.00",0.33,0.61,0.16,1,0,56.60,0,0
Toledo,"3,584.40","3,000,000",0.42,"62,938.00",0.43,0.57,0.24,1,0,52.00,0,0
Laredo,"3,498.70","80,000",0.62,"50,686.00",0.16,0.62,0.22,1,0,66.70,0,1
Port St. Lucie,"2,379.50","1,000,000",0.39,"41,234.00",0.87,0.61,0.12,1,0,65.20,0,0
Glendale,"4,002.70","30,000,000",0.49,"86,532.00",0.20,0.62,0.09,0,0,54.80,1,1
Chesapeke,738.20,"8,900,000",0.44,"59,372.00",0.24,0.62,0.12,1,0,67.10,0,0
Winston Salem,"2,006.80","500,000",0.54,"56,504.00",0.51,0.59,0.14,1,0,60.20,0,1
Scottsdale,"1,309.70","11,000,000",0.19,"63,906.00",0.22,0.65,0.12,1,0,64.30,0,1
Irving,"3,939.20","655,000",0.72,"77,109.00",0.29,0.63,0.13,1,0,59.60,0,1
Garland ,"4,199.80","240,000",0.65,"77,109.00",0.28,0.60,0.18,1,0,53.80,0,1
Arlington,"3,776.50","7,100,000",0.60,"77,109.00",0.31,0.62,0.13,1,0,56.70,1,1
Boise City,"3,021.30","7,600,000",0.19,"54,826.00",0.15,0.62,0.10,1,0,69.20,0,1
Cape Coral,"1,854.90","2,000,000",0.28,"50,526.00",0.96,0.61,0.13,1,0,61.90,0,0
Frisco,"2,940.20","6,400,000",0.50,"77,109.00",0.14,0.64,0.10,1,1,78.00,0,1
